id,uni_cofactor,uni_seq_len,pdbid,chid,basid,all_pdb_ligands,pdb_cofactors,n_pdb_cofactors,pdb_ligand_or_drugs,n_pdb_ligand_or_drugs,resrange,modeled_len,n_mut,n_missing_fsite,coverage,resolution,r_free,active_site,binding_site,dna_binding,zinc_finger,missing_pdb_resID,missing_uniprot_resID
P19793,[],462,5UAN,5UAN.A,['1'],"['ZN', '9CR', 'REA']",set(),0,"{'ZN', '9CR', 'REA'}",3,98-462,284,0,9,0.6147186147186147,3.51,0.2703,[],"['135', '138', '152', '155', '171', '177', '187', '190', '316', '316', '327', '327']",['135-200'],"['135-155', '171-195']","[(1, 35), (70, 79), (89, 89), (113, 128), (147, 166), (361, 365)]","[[(98, 132)], [(167, 176)], [(186, 186)], [(210, 225)], [(244, 263)], [(458, 462)]]"
P19793,[],462,6FBR,6FBR.B,['1'],"['ZN', 'PO4', 'PGE', 'PEG']",set(),0,"{'PO4', 'ZN', 'PEG', 'PGE'}",4,130-212,79,0,3,0.170995670995671,2.1,0.232,[],"['135', '138', '152', '155', '171', '177', '187', '190', '316', '316', '327', '327']",['135-200'],"['135-155', '171-195']","[(48, 51), (86, 87)]","[[(173, 176)], [(211, 212)]]"
P19793,[],462,4CN5,4CN5.B,['1'],"['CL', 'K', 'NO3', 'ZN']",set(),0,"{'K', 'ZN', 'NO3', 'CL'}",4,130-212,78,0,2,0.16883116883116883,2.0,0.227,[],"['135', '138', '152', '155', '171', '177', '187', '190', '316', '316', '327', '327']",['135-200'],"['135-155', '171-195']","[(1, 6), (47, 49), (85, 87)]","[[(130, 131)], [(172, 174)], [(210, 212)]]"
P19793,[],462,6JNO,6JNO.D,['1'],['WY5'],set(),0,{'WY5'},1,224-462,207,0,1,0.44805194805194803,2.65,0.27442,[],"['135', '138', '152', '155', '171', '177', '187', '190', '316', '316', '327', '327']",['135-200'],"['135-155', '171-195']","[(1, 11), (23, 42), (108, 109), (237, 243)]","[[(224, 230)], [(242, 261)], [(327, 328)], [(456, 462)]]"
P19793,[],462,6JNO,6JNO.C,['1'],['WY5'],set(),0,{'WY5'},1,224-462,204,0,1,0.44155844155844154,2.65,0.27442,[],"['135', '138', '152', '155', '171', '177', '187', '190', '316', '316', '327', '327']",['135-200'],"['135-155', '171-195']","[(1, 11), (23, 44), (108, 110), (237, 243)]","[[(224, 230)], [(242, 263)], [(327, 329)], [(456, 462)]]"
P19793,[],462,6JNO,6JNO.B,['1'],['WY5'],set(),0,{'WY5'},1,224-462,196,0,1,0.42424242424242425,2.65,0.27442,[],"['135', '138', '152', '155', '171', '177', '187', '190', '316', '316', '327', '327']",['135-200'],"['135-155', '171-195']","[(1, 44), (108, 109), (240, 243)]","[[(224, 263)], [(327, 328)], [(459, 462)]]"
P19793,[],462,3NSP,3NSP.B,['1'],[],set(),0,set(),0,223-462,192,0,1,0.4155844155844156,2.9,0.30755,[],"['135', '138', '152', '155', '171', '177', '187', '190', '316', '316', '327', '327']",['135-200'],"['135-155', '171-195']","[(1, 47), (105, 107)]","[[(223, 269)], [(327, 329)]]"
P19793,[],462,7CFO,7CFO.D,['1'],"['WZ6', 'GOL']",set(),0,"{'WZ6', 'GOL'}",2,224-462,190,0,1,0.41125541125541126,2.15,0.26633,[],"['135', '138', '152', '155', '171', '177', '187', '190', '316', '316', '327', '327']",['135-200'],"['135-155', '171-195']","[(1, 48), (108, 111), (240, 243)]","[[(224, 267)], [(327, 330)], [(459, 462)]]"
P19793,[],462,4NQA,4NQA.G,"['1', '2']","['ZN', '9CR', '965']",set(),0,"{'ZN', '9CR', '965'}",3,98-462,322,0,0,0.696969696969697,3.1,0.2178,[],"['135', '138', '152', '155', '171', '177', '187', '190', '316', '316', '327', '327']",['135-200'],"['135-155', '171-195']","[(1, 29), (152, 164), (362, 365)]","[[(98, 126)], [(249, 261)], [(459, 462)]]"
P19793,[],462,4NQA,4NQA.A,"['1', '2']","['ZN', '9CR', '965']",set(),0,"{'ZN', '9CR', '965'}",3,98-462,321,0,0,0.6948051948051948,3.1,0.2178,[],"['135', '138', '152', '155', '171', '177', '187', '190', '316', '316', '327', '327']",['135-200'],"['135-155', '171-195']","[(1, 30), (116, 126), (153, 153), (360, 365)]","[[(98, 127)], [(213, 223)], [(250, 250)], [(457, 462)]]"
