id,uni_cofactor,uni_seq_len,pdbid,chid,basid,all_pdb_ligands,pdb_cofactors,n_pdb_cofactors,pdb_ligand_or_drugs,n_pdb_ligand_or_drugs,resrange,modeled_len,n_mut,n_missing_fsite,coverage,resolution,r_free,active_site,binding_site,dna_binding,zinc_finger,missing_pdb_resID,missing_uniprot_resID
P05106,[],788,8T2V,8T2V.B,['1'],"['CA', 'NAG', 'CLR', 'MG']",set(),0,"{'CA', 'NAG', 'CLR', 'MG'}",4,27-788,719,0,0,0.9124365482233503,3.4,,[],"['147', '149', '149', '152', '153', '184', '241', '243', '245', '246', '246', '277', '277', '361']",[],[],"[(719, 762)]","[[(745, 788)]]"
P05106,[],788,9DEQ,9DEQ.B,['1'],"['CA', 'NAG', 'MG', 'A1A5G', 'CLR']",set(),0,"{'A1A5G', 'MG', 'CA', 'CLR', 'NAG'}",5,27-788,719,0,0,0.9124365482233503,4.1,,[],"['147', '149', '149', '152', '153', '184', '241', '243', '245', '246', '246', '277', '277', '361']",[],[],"[(719, 762)]","[[(745, 788)]]"
P05106,[],788,8GCD,8GCD.B,['1'],"['CA', 'NAG', 'MG']",set(),0,"{'CA', 'NAG', 'MG'}",3,1-788,702,0,0,0.8908629441624365,2.97,,[],"['147', '149', '149', '152', '153', '184', '241', '243', '245', '246', '246', '277', '277', '361']",[],[],"[(1, 26), (101, 104), (503, 508), (714, 718), (739, 788)]","[[(1, 26)], [(101, 104)], [(503, 508)], [(714, 718)], [(739, 788)]]"
P05106,[],788,3IJE,3IJE.B,['1'],"['NAG', 'CA']",set(),0,"{'CA', 'NAG'}",2,27-721,695,0,0,0.881979695431472,2.9,0.28482,[],"['147', '149', '149', '152', '153', '184', '241', '243', '245', '246', '246', '277', '277', '361']",[],[],[],[]
P05106,[],788,4G1M,4G1M.B,['1'],"['CA', 'NAG', 'NA']",set(),0,"{'CA', 'NAG', 'NA'}",3,27-718,692,0,0,0.8781725888324873,2.9,0.2329,[],"['147', '149', '149', '152', '153', '184', '241', '243', '245', '246', '246', '277', '277', '361']",[],[],[],[]
P05106,[],788,4MMZ,4MMZ.B,['1'],"['NAG', 'MN', 'NA', 'GOL']",set(),0,"{'NAG', 'MN', 'NA', 'GOL'}",4,27-718,691,0,0,0.8769035532994924,3.1,0.2549,[],"['147', '149', '149', '152', '153', '184', '241', '243', '245', '246', '246', '277', '277', '361']",[],[],"[(691, 692)]","[[(717, 718)]]"
P05106,[],788,6MSL,6MSL.B,['1'],"['NAG', 'MN']",set(),0,"{'NAG', 'MN'}",2,27-721,691,0,0,0.8769035532994924,3.1,0.2656,[],"['147', '149', '149', '152', '153', '184', '241', '243', '245', '246', '246', '277', '277', '361']",[],[],"[(691, 695)]","[[(717, 721)]]"
P05106,[],788,6MSU,6MSU.B,['1'],"['NAG', 'MN', 'CL']",set(),0,"{'NAG', 'MN', 'CL'}",3,27-721,691,0,0,0.8769035532994924,3.11,,[],"['147', '149', '149', '152', '153', '184', '241', '243', '245', '246', '246', '277', '277', '361']",[],[],"[(691, 695)]","[[(717, 721)]]"
P05106,[],788,4MMY,4MMY.B,['1'],"['NAG', 'MN']",set(),0,"{'NAG', 'MN'}",2,27-718,691,0,0,0.8769035532994924,3.18,0.252,[],"['147', '149', '149', '152', '153', '184', '241', '243', '245', '246', '246', '277', '277', '361']",[],[],"[(691, 692)]","[[(717, 718)]]"
P05106,[],788,4MMX,4MMX.B,['1'],"['NAG', 'MN']",set(),0,"{'NAG', 'MN'}",2,27-718,691,0,0,0.8769035532994924,3.32,0.2694,[],"['147', '149', '149', '152', '153', '184', '241', '243', '245', '246', '246', '277', '277', '361']",[],[],"[(691, 692)]","[[(717, 718)]]"
